vg_name,developer,year_released,avg_score,num_reviews,country,est,status,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales
God Eater Resurrection,Bandai,2016,70.56,18.0,Japan,1950.0,Subsidiary,Action,0.0,0.0,0.09,0.0,0.09
God of War (PS4),Sony Interactive Entertainment,2018,94.1,63.0,USA,1994.0,Subsidiary,Action,2.83,2.17,0.13,1.02,6.15
Godzilla (2015),Bandai,2015,39.16,38.0,Japan,1950.0,Subsidiary,Action,0.11,0.03,0.03,0.03,0.2
Gran Turismo Sport,Polyphony Digital,2017,74.94,42.0,Japan,1998.0,Subsidiary,Racing,0.63,2.35,0.24,0.54,3.77
Grand Ages: Medieval,Ubisoft,2015,65.83,6.0,France,1986.0,Independent,Strategy,0.0,0.05,0.03,0.01,0.09
Grand Kingdom,Chunsoft,2016,77.48,21.0,Japan,1984.0,Defunct,Role-Playing,0.08,0.0,0.04,0.02,0.14
Grand Theft Auto V,Rockstar Games,2014,96.33,41.0,USA,1998.0,Subsidiary,Action,6.06,9.71,0.6,3.02,19.39
Gravity Rush 2,Sony Interactive Entertainment,2017,80.31,50.0,USA,1994.0,Subsidiary,Action-Adventure,0.13,0.05,0.13,0.04,0.35
Guilty Gear Xrd -Revelator-,Arc System Works,2016,84.59,22.0,Japan,1988.0,Independent,Fighting,0.06,0.0,0.07,0.01,0.14
Guilty Gear Xrd: Sign,Arc System Works,2014,85.13,24.0,Japan,1988.0,Independent,Fighting,0.11,0.0,0.04,0.02,0.17
Guilty Gear Xrd REV 2,Arc System Works,2017,85.0,20.0,Japan,1988.0,Independent,Fighting,0.04,0.01,0.03,0.01,0.1
Guitar Hero Live,Activision,2015,81.91,43.0,USA,1979.0,Subsidiary,Music,0.52,0.49,0.0,0.2,1.21
Gundam Versus,Bandai,2017,68.38,20.0,Japan,1950.0,Subsidiary,Action,0.08,0.0,0.18,0.02,0.28
Has-Been Heroes,Frozenbyte,2017,60.2,5.0,Finland,2001.0,Independent,Action,0.06,0.0,0.0,0.01,0.07
Hatsune Miku: Project Diva X,Sega,2017,85.0,2.0,Japan,1960.0,Subsidiary,Music,0.08,0.0,0.04,0.02,0.13
The Heavy Rain and Beyond: Two Souls Collection,Quantic Dream,2016,79.0,1.0,France,1997.0,Independent,Action,0.0,0.24,0.0,0.04,0.28
Hellblade,Ninja Theory,2017,82.1,40.0,England,2000.0,Subsidiary,Action-Adventure,0.03,0.01,0.0,0.01,0.05
Here They Lie,Sony Interactive Entertainment,2016,64.25,20.0,USA,1994.0,Subsidiary,Adventure,0.0,0.03,0.0,0.01,0.04
Hidden Agenda,Sony Interactive Entertainment,2017,68.7,23.0,USA,1994.0,Subsidiary,Adventure,0.08,0.42,0.0,0.09,0.59
Hitman (2016),Square Enix,2016,84.67,33.0,Japan,1975.0,Independent,Action,0.24,0.36,0.06,0.11,0.78
Homefront: The Revolution,Dambuster Studios,2016,46.7,27.0,England,2014.0,Subsidiary,Shooter,0.11,0.29,0.04,0.07,0.5
Horizon: Zero Dawn,Sony Interactive Entertainment,2017,88.36,70.0,USA,1994.0,Subsidiary,Action,2.2,2.43,0.28,0.92,5.82
Injustice 2,NetherRealm Studios,2017,87.7,51.0,USA,2010.0,Subsidiary,Fighting,0.88,0.54,0.0,0.29,1.72
Injustice: Gods Among Us,NetherRealm Studios,2013,83.21,14.0,USA,2010.0,Subsidiary,Fighting,0.46,0.35,0.0,0.17,0.98
J Stars Victory Vs.,Bandai,2015,62.29,28.0,Japan,1950.0,Subsidiary,Fighting,0.11,0.14,0.0,0.05,0.31
JoJo's Bizarre Adventure: Eyes of Heaven,Bandai,2016,63.14,22.0,Japan,1950.0,Subsidiary,Fighting,0.0,0.0,0.04,0.0,0.04
Just Cause 3,Avalanche Studios,2015,77.87,30.0,Sweden,2003.0,Subsidiary,Action-Adventure,0.53,1.07,0.09,0.3,1.98
Just Dance 2014,Ubisoft,2013,75.0,3.0,France,1986.0,Independent,Music,0.21,0.18,0.0,0.08,0.47
Just Dance 2015,Ubisoft,2014,72.5,4.0,France,1986.0,Independent,Music,0.21,0.13,0.0,0.07,0.41
Just Dance 2016,Ubisoft,2015,73.33,6.0,France,1986.0,Independent,Music,0.19,0.13,0.0,0.07,0.39
Just Dance 2017,Ubisoft,2016,73.75,4.0,France,1986.0,Independent,Misc,0.08,0.12,0.0,0.04,0.24
Just Dance 2018,Ubisoft,2017,76.67,3.0,France,1986.0,Independent,Music,0.1,0.15,0.0,0.05,0.3
The Pillars of the Earth,Kalypso Media,2017,75.0,5.0,Germany,2006.0,Independent,Adventure,0.02,0.0,0.0,0.01,0.03
Killing Floor 2 ,Tripwire Interactive,2016,76.64,29.0,USA,2005.0,Independent,Shooter,0.19,0.03,0.0,0.05,0.27
King's Quest: The Complete Collection,Activision,2016,85.0,2.0,USA,1979.0,Subsidiary,Adventure,0.05,0.0,0.0,0.01,0.06
Kingdom Come: Deliverance,Warhorse Studios,2018,72.0,15.0,Czech Republic,2011.0,Subsidiary,Role-Playing,0.18,0.28,0.0,0.09,0.56
Kingdom Hearts HD 2.8 Final Chapter Prologue,Square Enix,2017,77.35,42.0,Japan,1975.0,Independent,Role-Playing,0.57,0.25,0.2,0.17,1.2
Kingdom Hearts 1.5 + 2.5 Remix,Square Enix,2017,84.41,17.0,Japan,1975.0,Independent,Role-Playing,0.75,0.51,0.23,0.26,1.75
Knack 2,Sony Interactive Entertainment,2017,72.01,45.0,USA,1994.0,Subsidiary,Platform,0.14,0.25,0.01,0.07,0.47
Knowledge is Power,Sony Interactive Entertainment,2017,73.36,14.0,USA,1994.0,Subsidiary,Party,0.05,0.47,0.0,0.09,0.61
L.A. Noire,2K Games,2017,75.62,8.0,USA,2005.0,Subsidiary,Adventure,0.18,0.32,0.0,0.1,0.6
Coven and Labyrinth of Refrain,Nippon Ichi Software,2018,76.0,5.0,Japan,1991.0,Independent,Action,0.01,0.0,0.01,0.0,0.03
Lara Croft and the Temple of Osiris,Square Enix,2014,73.82,19.0,Japan,1975.0,Independent,Action,0.0,0.07,0.0,0.01,0.09
Lego Batman 3: Beyond Gotham,Warner Bros. Interactive Entertainment,2014,74.06,31.0,USA,1988.0,Subsidiary,Action,0.37,0.42,0.0,0.16,0.94
LEGO City Undercover,Warner Bros. Interactive Entertainment,2017,77.17,18.0,USA,1988.0,Subsidiary,Platform,0.17,0.46,0.01,0.12,0.75
LEGO Dimensions,Traveller's Tales,2015,79.78,39.0,England,1990.0,Subsidiary,Action,0.48,0.5,0.0,0.2,1.18
LEGO Harry Potter Collection,Warner Bros. Interactive Entertainment,2016,73.0,6.0,USA,1988.0,Subsidiary,Action,0.07,0.68,0.0,0.13,0.88
LEGO Jurassic World,Warner Bros. Interactive Entertainment,2015,71.24,34.0,USA,1988.0,Subsidiary,Action,0.41,0.56,0.02,0.19,1.18
Lego Marvel Super Heroes,Warner Bros. Interactive Entertainment,2013,83.24,17.0,USA,1988.0,Subsidiary,Action,0.59,1.0,0.01,0.3,1.91
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,2017,72.33,30.0,USA,1988.0,Subsidiary,Action,0.33,0.6,0.0,0.18,1.11
LEGO Marvel's Avengers,Warner Bros. Interactive Entertainment,2016,71.54,42.0,USA,1988.0,Subsidiary,Action,0.31,0.53,0.01,0.16,1.01
Lego Star Wars: The Force Awakens,Warner Bros. Interactive Entertainment,2016,78.07,36.0,USA,1988.0,Subsidiary,Action-Adventure,0.3,0.78,0.02,0.2,1.31
LEGO The Hobbit,Warner Bros. Interactive Entertainment,2014,73.15,33.0,USA,1988.0,Subsidiary,Action-Adventure,0.14,0.39,0.0,0.1,0.62
LEGO Worlds,Warner Bros. Interactive Entertainment,2017,64.56,16.0,USA,1988.0,Subsidiary,Misc,0.21,0.72,0.04,0.17,1.14
Let It Die,Grasshopper Manufacture,2016,75.28,23.0,Japan,1998.0,Subsidiary,Action,0.0,0.01,0.01,0.0,0.01
Life is Strange,Square Enix,2015,85.58,12.0,Japan,1975.0,Independent,Adventure,0.11,0.16,0.05,0.05,0.37
Little Nightmares,Bandai,2017,74.03,20.0,Japan,1950.0,Subsidiary,Platform,0.18,0.12,0.02,0.06,0.39
LittleBigPlanet 3,Sumo Digital,2014,80.78,50.0,England,2003.0,Independent,Platform,0.78,0.93,0.01,0.34,2.06
Lock's Quest,THQ,2017,30.0,2.0,USA,1989.0,Defunct,Strategy,0.01,0.0,0.0,0.0,0.01
LocoRoco Remastered,Sony Interactive Entertainment,2017,79.58,12.0,USA,1994.0,Subsidiary,Platform,0.0,0.0,0.01,0.0,0.01
Lost Sphear,Square Enix,2018,69.75,30.0,Japan,1975.0,Independent,Role-Playing,0.0,0.0,0.02,0.0,0.02
Lumo,Rising Star Games,2016,75.45,20.0,England,2004.0,Subsidiary,Puzzle,0.03,0.0,0.0,0.01,0.04
Mad Max (2013),Avalanche Studios,2015,69.4,53.0,Sweden,2003.0,Subsidiary,Action,0.38,0.59,0.05,0.19,1.2
Madden NFL 15,Electronic Arts,2014,82.18,33.0,USA,1982.0,Independent,Sports,1.58,0.25,0.0,0.41,2.25
Madden NFL 18,Electronic Arts,2017,82.87,27.0,USA,1982.0,Independent,Sports,1.73,0.42,0.0,0.47,2.62
Madden NFL 25,Electronic Arts,2019,76.44,18.0,USA,1982.0,Independent,Sports,0.64,0.15,0.0,0.17,0.96
Mafia III,2K Games,2016,67.16,37.0,USA,2005.0,Subsidiary,Action-Adventure,0.72,1.67,0.04,0.44,2.87
Mark McMorris Infinite Air,HB Studios,2016,45.56,9.0,Canada,2000.0,Independent,Sports,0.05,0.0,0.0,0.01,0.06
Marvel vs. Capcom: Infinite,Capcom,2017,70.43,45.0,Japan,1979.0,Independent,Fighting,0.36,0.19,0.04,0.11,0.7
Marvel's Guardians of the Galaxy: The Telltale Series,Telltale Games,2017,72.33,3.0,USA,2004.0,Defunct,Adventure,0.06,0.04,0.0,0.02,0.12
Mass Effect: Andromeda,BioWare,2017,70.11,38.0,Canada,1995.0,Subsidiary,Role-Playing,0.58,0.67,0.0,0.25,1.49
Mega Man Legacy Collection,Capcom,2015,75.69,13.0,Japan,1979.0,Independent,Platform,0.09,0.0,0.0,0.02,0.11
Mega Man Legacy Collection 2,Capcom,2017,74.74,23.0,Japan,1979.0,Independent,Action,0.06,0.0,0.02,0.01,0.1
Megadimension Neptunia VIIR,Compile Heart,2016,71.25,20.0,Japan,2006.0,Subsidiary,Role-Playing,0.01,0.0,0.03,0.0,0.04
Metal Gear Solid: Ground Zeroes,Kojima Productions,2014,75.23,48.0,Japan,2005.0,Independent,Action-Adventure,0.36,0.5,0.17,0.17,1.2
Metal Gear Solid V: The Phantom Pain,Kojima Productions,2015,91.59,55.0,Japan,2005.0,Independent,Action,0.97,1.15,0.5,0.42,3.04
Metal Gear Survive,Konami,2018,61.09,33.0,Japan,1969.0,Independent,Action,0.08,0.06,0.05,0.03,0.23
Micro Machines: World Series,Codemasters,2017,58.72,18.0,England,1985.0,Independent,Racing,0.03,0.16,0.0,0.03,0.22
Middle-Earth: Shadow of Mordor,Monolith Productions,2014,86.55,57.0,USA,1994.0,Subsidiary,Action,1.03,1.6,0.05,0.51,3.19
Middle-Earth: Shadow of War,Monolith Productions,2017,81.47,34.0,USA,1994.0,Subsidiary,Action,0.82,0.84,0.06,0.33,2.04
MineCraft,Mojang AB,2014,89.5,8.0,Sweden,2009.0,Subsidiary,Misc,1.89,3.13,0.35,0.96,6.33
MLB The Show 17,Sony Interactive Entertainment,2017,85.34,32.0,USA,1994.0,Subsidiary,Sports,0.94,0.0,0.0,0.22,1.16
MLB The Show 18,Sony Interactive Entertainment,2018,82.36,21.0,USA,1994.0,Subsidiary,Sports,0.86,0.0,0.0,0.2,1.06
Monster Energy Supercross - The Official Videogame,Milestone,2019,72.2,10.0,Japan,2003.0,Defunct,Racing,0.08,0.01,0.0,0.02,0.11
Monster Hunter: World,Capcom,2018,89.71,51.0,Japan,1979.0,Independent,Action,1.03,1.06,2.17,0.42,4.67
Mortal Kombat X,NetherRealm Studios,2015,84.18,58.0,USA,2010.0,Subsidiary,Fighting,1.94,0.94,0.0,0.61,3.49
MotoGP 14 ,Bandai,2014,72.84,19.0,Japan,1950.0,Subsidiary,Racing,0.05,0.11,0.0,0.03,0.2
MotoGP 15,Milestone,2015,64.29,7.0,Japan,2003.0,Defunct,Racing,0.0,0.13,0.04,0.02,0.18
MotoGP 17,Milestone,2017,65.63,8.0,Japan,2003.0,Defunct,Racing,0.04,0.07,0.0,0.02,0.14
Murdered: Soul Suspect,Square Enix,2014,61.29,41.0,Japan,1975.0,Independent,Action-Adventure,0.09,0.17,0.02,0.05,0.33
MX vs. ATV Supercross Encore,Rainbow Studios,2015,43.17,6.0,USA,1996.0,Defunct,Sports,0.0,0.05,0.0,0.01,0.06
MXGP 3: The Official Motocross Videogame,Milestone,2014,65.4,10.0,Japan,2003.0,Defunct,Racing,0.06,0.08,0.0,0.03,0.17
Naruto Shippuden: Ultimate Ninja Storm 4,Bandai,2016,79.16,32.0,Japan,1950.0,Subsidiary,Fighting,0.71,0.47,0.12,0.24,1.54
Naruto to Boruto: Shinobi Striker,Bandai,2018,62.0,10.0,Japan,1950.0,Subsidiary,Action,0.19,0.03,0.02,0.05,0.29
NASCAR Heat 2,Monster Games,2017,63.1,10.0,USA,1996.0,Independent,Racing,0.11,0.0,0.0,0.02,0.13
NASCAR Heat Evolution,Monster Games,2018,61.0,7.0,USA,1996.0,Independent,Racing,0.12,0.0,0.0,0.03,0.15
NBA 2K14,2K Sports,2013,84.18,11.0,USA,2005.0,Subsidiary,Sports,0.91,0.35,0.01,0.27,1.54
NBA 2K15,2K Sports,2014,81.53,31.0,USA,2005.0,Subsidiary,Sports,1.49,0.55,0.01,0.44,2.49
NBA 2K16,2K Games,2015,84.54,26.0,USA,2005.0,Subsidiary,Sports,2.56,0.66,0.05,0.71,3.98
NBA 2K17,2K Games,2016,86.1,21.0,USA,2005.0,Subsidiary,Sports,2.28,0.59,0.03,0.63,3.52
NBA 2K18,2K Games,2017,76.58,24.0,USA,2005.0,Subsidiary,Sports,2.13,0.57,0.04,0.59,3.34
NBA Live 14,Electronic Arts,2013,46.8,20.0,USA,1982.0,Independent,Sports,0.17,0.05,0.0,0.05,0.27
NBA Live 15,Electronic Arts,2014,60.25,14.0,USA,1982.0,Independent,Sports,0.16,0.04,0.0,0.04,0.25
NBA Live 18,Electronic Arts,2017,73.21,14.0,USA,1982.0,Independent,Sports,0.2,0.0,0.0,0.05,0.24
Need for Speed (2015),Electronic Arts,2015,66.44,40.0,USA,1982.0,Independent,Racing,0.59,1.66,0.06,0.41,2.72
Need for Speed: Payback,Electronic Arts,2017,59.0,30.0,USA,1982.0,Independent,Racing,0.62,1.18,0.04,0.34,2.18
Need for Speed Rivals,Electronic Arts,2013,80.59,34.0,USA,1982.0,Independent,Racing,0.75,1.04,0.03,0.35,2.17
Gundam Breaker 3,Bandai,2018,39.4,15.0,Japan,1950.0,Subsidiary,Action,0.0,0.0,0.11,0.0,0.11
NHL 15,Electronic Arts,2014,58.95,22.0,USA,1982.0,Independent,Sports,0.32,0.19,0.0,0.11,0.62
NHL 17,Electronic Arts,2016,80.9,20.0,USA,1982.0,Independent,Sports,0.32,0.11,0.0,0.09,0.52
NHL 18,Electronic Arts,2017,77.06,16.0,USA,1982.0,Independent,Sports,0.31,0.16,0.0,0.1,0.57
Ni no Kuni II: Revenant Kingdom,Bandai,2018,86.3,48.0,Japan,1950.0,Subsidiary,Role-Playing,0.33,0.31,0.12,0.13,0.89
NieR Automata,PlatinumGames,2017,88.84,62.0,Japan,2006.0,Independent,Role-Playing,0.56,0.51,0.42,0.22,1.71
Nights of Azure,Gust,2016,68.21,28.0,Japan,1993.0,Subsidiary,Action,0.04,0.04,0.0,0.02,0.09
Nights of Azure 2,Gust,2017,65.71,21.0,Japan,1993.0,Subsidiary,Action,0.04,0.0,0.04,0.01,0.09
Nitroplus Blasterz: Heroines Infinite Duel,Examu,2016,69.53,30.0,Japan,1999.0,Independent,Fighting,0.01,0.01,0.03,0.0,0.05
 No Heroes Allowed! VR,Sony Interactive Entertainment,2017,73.0,5.0,USA,1994.0,Subsidiary,Strategy,0.0,0.0,0.02,0.0,0.02
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,Koei Tecmo Games (formerly Koei),2015,79.12,16.0,Japan,1978.0,Subsidiary,Strategy,0.03,0.0,0.06,0.01,0.09
Odin Sphere: Leifthrasir,Vanillaware,2016,86.78,36.0,Japan,2002.0,Independent,Role-Playing,0.14,0.07,0.09,0.04,0.34
Okami,Capcom,2017,88.15,20.0,Japan,1979.0,Independent,Action,0.16,0.12,0.03,0.06,0.36
Omega Quintet,Compile Heart,2015,57.86,21.0,Japan,2006.0,Subsidiary,Role-Playing,0.0,0.0,0.02,0.0,0.03
One Piece: Burning Blood,Bandai,2016,64.64,25.0,Japan,1950.0,Subsidiary,Fighting,0.21,0.26,0.09,0.09,0.65
One Piece: Pirate Warriors 3,Bandai,2015,75.0,20.0,Japan,1950.0,Subsidiary,Action,0.11,0.22,0.11,0.06,0.52
One Piece: Unlimited World Red,Bandai,2017,80.0,1.0,Japan,1950.0,Subsidiary,Action,0.0,0.0,0.01,0.0,0.01
Onechanbara Z2: Chaos,Tamsoft,2015,57.83,29.0,Japan,1992.0,Independent,Action,0.16,0.03,0.05,0.04,0.28
Overwatch,Blizzard Entertainment,2016,90.87,23.0,USA,1991.0,Subsidiary,Shooter,1.84,1.8,0.17,0.73,4.54
Pac-Man Championship Edition 2 + Arcade Game Series,Bandai,2016,77.8,15.0,Japan,1950.0,Subsidiary,Action,0.08,0.0,0.0,0.02,0.1
PaRappa the Rapper Remastered,Sony Interactive Entertainment,2017,60.73,15.0,USA,1994.0,Subsidiary,Music,0.0,0.0,0.02,0.0,0.02
Patapon Remastered,Sony Interactive Entertainment,2017,77.25,12.0,USA,1994.0,Subsidiary,Music,0.0,0.0,0.02,0.0,0.02
Payday 2,Overkill Software,2015,69.07,14.0,Sweden,2009.0,Subsidiary,Shooter,0.12,0.14,0.0,0.05,0.32
Persona 5,Atlus,2017,93.3,58.0,Japan,1986.0,Subsidiary,Role-Playing,0.62,0.34,0.48,0.2,1.64
Plants vs Zombies: Garden Warfare,Electronic Arts,2014,78.07,15.0,USA,1982.0,Independent,Shooter,0.24,0.3,0.01,0.11,0.66
PlayStation VR Worlds,Sony Interactive Entertainment,2016,57.07,28.0,USA,1994.0,Subsidiary,Misc,0.36,1.4,0.09,0.32,2.16
Prey (2017),Arkane Studios,2017,77.17,39.0,France,1999.0,Subsidiary,Shooter,0.25,0.62,0.02,0.16,1.04
Pro Evolution Soccer 2015,Konami,2014,83.32,31.0,Japan,1969.0,Independent,Sports,0.09,0.45,0.12,0.1,0.76
Pro Evolution Soccer 2016,Konami,2015,86.58,31.0,Japan,1969.0,Independent,Sports,0.14,0.43,0.14,0.1,0.82
Pro Evolution Soccer 2017,Konami,2016,84.85,31.0,Japan,1969.0,Independent,Sports,0.08,0.41,0.18,0.09,0.75
Pro Evolution Soccer 2018,Konami,2017,82.39,27.0,Japan,1969.0,Independent,Sports,0.12,0.36,0.19,0.09,0.75
Project CARS,Bandai,2015,82.63,27.0,Japan,1950.0,Subsidiary,Racing,0.29,0.76,0.04,0.19,1.28
Project CARS 2,Bandai,2017,79.67,20.0,Japan,1950.0,Subsidiary,Racing,0.1,0.35,0.02,0.08,0.55
Prototype: Biohazard Bundle,Activision,2015,48.0,5.0,USA,1979.0,Subsidiary,Action,0.14,0.0,0.0,0.03,0.17
Pure Farming 2018,Techland,2018,67.0,5.0,Poland,1991.0,Independent,Simulation,0.02,0.01,0.0,0.01,0.04
Rabbids Invasion: The Interactive TV Show,Ubisoft,2014,50.0,1.0,France,1986.0,Independent,Misc,0.0,0.01,0.0,0.0,0.02
Raid: World War II,Starbreeze Studios,2017,39.0,5.0,Sweden,1998.0,Independent,Shooter,0.04,0.0,0.0,0.01,0.04
Ratchet & Clank (2016),Insomniac Games,2016,86.27,64.0,USA,1994.0,Subsidiary,Platform,0.97,0.97,0.06,0.39,2.38
Rayman Legends,Ubisoft,2014,90.45,11.0,France,1986.0,Independent,Platform,0.22,1.05,0.0,0.23,1.5
Red Dead Redemption 2,Rockstar Games,2018,96.45,49.0,USA,1998.0,Subsidiary,Action-Adventure,5.26,6.21,0.21,2.26,13.94
Resident Evil: Revelations 2,Capcom,2019,92.39,41.0,Japan,1979.0,Independent,Action,0.14,0.25,0.11,0.07,0.57
Resident Evil 4 HD,Capcom,2016,85.85,13.0,Japan,1979.0,Independent,Action-Adventure,0.07,0.0,0.01,0.02,0.1
Resident Evil 5 HD,Capcom,2016,66.0,5.0,Japan,1979.0,Independent,Action,0.05,0.0,0.01,0.01,0.07
