vg_name,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales,is_duplicated
Grand Theft Auto V,Action,6.06,9.71,0.6,3.02,19.39,0.0
Call of Duty: Black Ops 3,Shooter,6.18,6.05,0.41,2.44,15.09,0.0
Red Dead Redemption 2,Action-Adventure,5.26,6.21,0.21,2.26,13.94,0.0
Call of Duty: WWII,Shooter,4.67,6.21,0.4,2.12,13.4,0.0
FIFA 18,Sports,1.27,8.64,0.15,1.73,11.8,0.0
FIFA 17,Sports,1.26,7.95,0.12,1.61,10.94,0.0
Uncharted (PS4),Action,4.49,3.93,0.21,1.7,10.33,0.0
Spider-Man (PS4),Action-Adventure,3.64,3.39,0.32,1.41,8.76,0.0
Call of Duty: Infinite Warfare,Shooter,3.11,3.83,0.19,1.36,8.48,0.0
Fallout 4,Role-Playing,2.91,3.97,0.27,1.34,8.48,0.0
FIFA 16,Sports,1.15,5.77,0.07,1.23,8.22,0.0
Star Wars Battlefront (2015),Shooter,3.31,3.19,0.23,1.3,8.03,0.0
Call of Duty: Advanced Warfare,Shooter,2.84,3.34,0.14,1.22,7.53,0.0
Battlefield 1,Shooter,2.2,3.65,0.29,1.12,7.26,0.0
The Last of Us,Action-Adventure,2.7,2.86,0.11,1.1,6.77,0.0
MineCraft,Misc,1.89,3.13,0.35,0.96,6.33,0.0
FIFA 15,Sports,0.83,4.49,0.05,0.94,6.32,0.0
God of War (PS4),Action,2.83,2.17,0.13,1.02,6.15,0.0
Horizon: Zero Dawn,Action,2.2,2.43,0.28,0.92,5.82,0.0
Destiny,Shooter,2.53,2.13,0.16,0.94,5.76,0.0
Uncharted: The Nathan Drake Collection,Action,2.55,2.11,0.1,0.94,5.7,0.0
The Witcher 3: Wild Hunt,Role-Playing,1.48,2.82,0.28,0.81,5.39,0.0
Final Fantasy XV,Role-Playing,1.81,1.53,1.05,0.68,5.07,0.0
Crash Bandicoot N. Sane Trilogy,Platform,1.09,2.92,0.07,0.74,4.83,0.0
Monster Hunter: World,Action,1.03,1.06,2.17,0.42,4.67,0.0
Overwatch,Shooter,1.84,1.8,0.17,0.73,4.54,0.0
Star Wars Battlefront II (2017),Shooter,1.7,1.99,0.12,0.73,4.53,0.0
Tom Clancy's The Division,Shooter,1.49,2.04,0.16,0.69,4.37,0.0
Tom Clancy's Rainbow Six: Siege,Shooter,1.29,2.06,0.36,0.64,4.36,0.0
Watch Dogs,Action-Adventure,1.4,2.13,0.11,0.68,4.32,0.0
Call of Duty: Ghosts,Shooter,1.79,1.64,0.05,0.69,4.17,0.0
Assassin's Creed: Unity,Action,1.25,2.16,0.09,0.65,4.14,0.0
Destiny 2,Shooter,1.92,1.44,0.1,0.69,4.14,0.0
Batman: Arkham Knight,Action,1.65,1.68,0.11,0.66,4.11,0.0
Assassin's Creed Origins,Action,1.22,2.11,0.11,0.63,4.06,0.0
Far Cry 4,Shooter,1.18,2.14,0.11,0.63,4.06,0.0
NBA 2K16,Sports,2.56,0.66,0.05,0.71,3.98,0.0
Far Cry 5,Action,1.44,1.73,0.15,0.62,3.95,0.0
Battlefield 4,Shooter,1.4,1.74,0.19,0.62,3.94,0.0
Gran Turismo Sport,Racing,0.63,2.35,0.24,0.54,3.77,0.0
Assassin's Creed Syndicate,Action,0.9,2.06,0.08,0.55,3.6,0.0
NBA 2K17,Sports,2.28,0.59,0.03,0.63,3.52,0.0
Mortal Kombat X,Fighting,1.94,0.94,0.0,0.61,3.49,0.0
FIFA Soccer 14,Sports,0.62,2.18,0.12,0.51,3.43,0.0
The Elder Scrolls V: Skyrim,Role-Playing,1.24,1.5,0.08,0.54,3.36,0.0
Watch Dogs 2,Action,0.98,1.74,0.12,0.52,3.36,0.0
NBA 2K18,Sports,2.13,0.57,0.04,0.59,3.34,0.0
Resident Evil VII: Biohazard,Action,0.88,1.56,0.41,0.46,3.31,0.0
Madden NFL 16,Sports,2.39,0.31,0.0,0.61,3.3,0.0
Madden NFL 17,Sports,2.3,0.37,0.0,0.6,3.28,0.0
Middle-Earth: Shadow of Mordor,Action,1.03,1.6,0.05,0.51,3.19,0.0
Assassin's Creed IV: Black Flag,Action-Adventure,1.07,1.55,0.06,0.51,3.19,0.0
Tom Clancy's Ghost Recon Wildlands,Shooter,1.07,1.35,0.22,0.47,3.12,0.0
Bloodborne,Role-Playing,1.3,1.05,0.28,0.48,3.11,0.0
Metal Gear Solid V: The Phantom Pain,Action,0.97,1.15,0.5,0.42,3.04,0.0
Killzone: Shadow Fall,Shooter,0.89,1.58,0.08,0.47,3.02,0.0
inFAMOUS: Second Son,Action-Adventure,1.35,1.09,0.07,0.5,3.01,0.0
Doom (2016),Shooter,0.93,1.48,0.04,0.46,2.92,0.0
Mafia III,Action-Adventure,0.72,1.67,0.04,0.44,2.87,0.0
Diablo III,Role-Playing,0.83,1.48,0.08,0.44,2.82,0.0
Far Cry: Primal,Action-Adventure,0.63,1.61,0.07,0.41,2.73,0.0
Need for Speed (2015),Racing,0.59,1.66,0.06,0.41,2.72,0.0
Madden NFL 18,Sports,1.73,0.42,0.0,0.47,2.62,0.0
NBA 2K15,Sports,1.49,0.55,0.01,0.44,2.49,0.0
Dying Light,Action,1.18,0.74,0.13,0.4,2.45,0.0
Dark Souls III,Role-Playing,1.0,0.63,0.44,0.34,2.42,0.0
Ratchet & Clank (2016),Platform,0.97,0.97,0.06,0.39,2.38,0.0
DriveClub,Racing,0.37,1.63,0.02,0.36,2.37,0.0
Uncharted: The Lost Legacy,Action,0.58,1.38,0.04,0.36,2.37,0.0
Dragon Age III: Inquisition,Role-Playing,1.07,0.8,0.08,0.38,2.34,0.0
No Man's Sky,Action-Adventure,0.89,0.97,0.04,0.37,2.26,0.0
Madden NFL 15,Sports,1.58,0.25,0.0,0.41,2.25,0.0
Need for Speed: Payback,Racing,0.62,1.18,0.04,0.34,2.18,0.0
Destiny: The Taken King,Shooter,0.97,0.8,0.05,0.36,2.18,0.0
Need for Speed Rivals,Racing,0.75,1.04,0.03,0.35,2.17,0.0
PlayStation VR Worlds,Misc,0.36,1.4,0.09,0.32,2.16,0.0
Battlefield: Hardline,Shooter,0.72,0.97,0.14,0.33,2.15,0.0
Rise of the Tomb Raider,Adventure,0.61,1.08,0.05,0.32,2.07,0.0
LittleBigPlanet 3,Platform,0.78,0.93,0.01,0.34,2.06,0.0
The Elder Scrolls Online,MMO,0.74,0.98,0.0,0.33,2.05,0.0
Middle-Earth: Shadow of War,Action,0.82,0.84,0.06,0.33,2.04,0.0
Dragon Quest XI,Role-Playing,0.29,0.22,1.43,0.1,2.04,0.0
Rocket League,Sports,0.37,1.34,0.0,0.31,2.02,0.0
Just Cause 3,Action-Adventure,0.53,1.07,0.09,0.3,1.98,0.0
Dishonored 2,Action,0.62,1.02,0.01,0.31,1.97,0.0
Lego Marvel Super Heroes,Action,0.59,1.0,0.01,0.3,1.91,0.0
Until Dawn,Adventure,0.62,0.92,0.06,0.3,1.9,0.0
Knack,Platform,0.45,0.77,0.42,0.23,1.88,0.0
The Evil Within,Action,0.56,0.9,0.11,0.28,1.86,0.0
The Crew,Racing,0.44,1.04,0.03,0.27,1.79,0.0
Kingdom Hearts 1.5 + 2.5 Remix,Role-Playing,0.75,0.51,0.23,0.26,1.75,0.0
For Honor,Action,0.73,0.66,0.07,0.28,1.75,0.0
Titanfall 2,Shooter,0.75,0.62,0.06,0.28,1.72,0.0
Injustice 2,Fighting,0.88,0.54,0.0,0.29,1.72,0.0
NieR Automata,Role-Playing,0.56,0.51,0.42,0.22,1.71,0.0
Tekken 7,Fighting,0.6,0.72,0.12,0.26,1.7,0.0
Persona 5,Role-Playing,0.62,0.34,0.48,0.2,1.64,0.0
The Order: 1886,Shooter,0.44,0.86,0.07,0.25,1.62,0.0
Wolfenstein: The New Order,Shooter,0.48,0.84,0.03,0.25,1.61,0.0
Detroit: Become Human,Adventure,0.55,0.67,0.12,0.24,1.57,0.0
Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,0.71,0.47,0.12,0.24,1.54,0.0
NBA 2K14,Sports,0.91,0.35,0.01,0.27,1.54,0.0
Tomb Raider (2013),Action-Adventure,0.47,0.74,0.06,0.23,1.51,0.0
Dragon Ball: Xenoverse 2,Action,0.54,0.59,0.14,0.23,1.5,0.0
Rayman Legends,Platform,0.22,1.05,0.0,0.23,1.5,0.0
Mass Effect: Andromeda,Role-Playing,0.58,0.67,0.0,0.25,1.49,0.0
Dragon Ball Fighter Z,Fighting,0.61,0.51,0.12,0.23,1.46,0.0
South Park: The Fractured But Whole,Role-Playing,0.62,0.57,0.0,0.24,1.43,0.0
The Sims 4,Simulation,0.44,0.72,0.01,0.22,1.39,0.0
Street Fighter V,Fighting,0.64,0.42,0.12,0.22,1.39,0.0
Wolfenstein II: The New Colossus,Shooter,0.55,0.58,0.01,0.22,1.36,0.0
WWE 2K18,Sports,0.45,0.67,0.0,0.22,1.33,0.0
Lego Star Wars: The Force Awakens,Action-Adventure,0.3,0.78,0.02,0.2,1.31,0.0
EA Sports UFC 2,Sports,0.44,0.65,0.0,0.21,1.31,0.0
The Last Guardian,Action-Adventure,0.4,0.58,0.13,0.19,1.29,0.0
WWE 2K16,Sports,0.43,0.65,0.0,0.21,1.29,0.0
Borderlands: The Handsome Collection,Shooter,0.69,0.34,0.03,0.22,1.28,0.0
Project CARS,Racing,0.29,0.76,0.04,0.19,1.28,0.0
WWE 2K17,Sports,0.32,0.7,0.0,0.19,1.22,0.0
Guitar Hero Live,Music,0.52,0.49,0.0,0.2,1.21,0.0
Metal Gear Solid: Ground Zeroes,Action-Adventure,0.36,0.5,0.17,0.17,1.2,0.0
Mad Max (2013),Action,0.38,0.59,0.05,0.19,1.2,0.0
Shadow of the Colossus,Action-Adventure,0.44,0.52,0.05,0.19,1.2,0.0
Kingdom Hearts HD 2.8 Final Chapter Prologue,Role-Playing,0.57,0.25,0.2,0.17,1.2,0.0
Dragon Ball: XenoVerse,Fighting,0.33,0.55,0.14,0.17,1.19,0.0
LEGO Dimensions,Action,0.48,0.5,0.0,0.2,1.18,0.0
LEGO Jurassic World,Action,0.41,0.56,0.02,0.19,1.18,0.0
WWE 2K15,Sports,0.4,0.57,0.0,0.19,1.16,0.0
MLB The Show 17,Sports,0.94,0.0,0.0,0.22,1.16,0.0
LEGO Worlds,Misc,0.21,0.72,0.04,0.17,1.14,0.0
The Elder Scrolls V: Skyrim PSVR,Role-Playing,0.47,0.47,0.01,0.19,1.13,0.0
LEGO Marvel Super Heroes 2,Action,0.33,0.6,0.0,0.18,1.11,0.0
EA Sports UFC,Fighting,0.49,0.43,0.01,0.18,1.11,0.0
Final Fantasy XII: The Zodiac Age,Role-Playing,0.37,0.41,0.16,0.15,1.1,0.0
Alien: Isolation,Adventure,0.29,0.59,0.05,0.16,1.09,0.0
MLB The Show 18,Sports,0.86,0.0,0.0,0.2,1.06,0.0
The Evil Within II,Action,0.31,0.49,0.09,0.15,1.05,0.0
Prey (2017),Shooter,0.25,0.62,0.02,0.16,1.04,0.0
Final Fantasy Type-0,Role-Playing,0.4,0.33,0.16,0.15,1.04,0.0
Ni-Oh,Action,0.34,0.36,0.2,0.14,1.03,0.0
MLB 15: The Show,Sports,0.75,0.08,0.0,0.19,1.01,0.0
Steep,Sports,0.23,0.6,0.02,0.15,1.01,0.0
LEGO Marvel's Avengers,Action,0.31,0.53,0.01,0.16,1.01,0.0
Evolve,Shooter,0.38,0.41,0.05,0.16,1.01,0.0
Injustice: Gods Among Us,Fighting,0.46,0.35,0.0,0.17,0.98,0.0
EA Sports UFC 3,Sports,0.4,0.41,0.01,0.16,0.97,0.0
Madden NFL 25,Sports,0.64,0.15,0.0,0.17,0.96,0.0
MLB 16: The Show,Sports,0.78,0.0,0.0,0.18,0.96,0.0
Lego Batman 3: Beyond Gotham,Action,0.37,0.42,0.0,0.16,0.94,0.0
Final Fantasy X/X-2 HD Remaster,Role-Playing,0.34,0.36,0.07,0.14,0.9,0.0
Ni no Kuni II: Revenant Kingdom,Role-Playing,0.33,0.31,0.12,0.13,0.89,0.0
God of War III,Action,0.4,0.33,0.02,0.15,0.89,0.0
Fortnite,Action,0.42,0.32,0.0,0.15,0.89,0.0
LEGO Harry Potter Collection,Action,0.07,0.68,0.0,0.13,0.88,0.0
Minecraft: Story Mode,Adventure,0.31,0.42,0.0,0.14,0.87,0.0
BioShock The Collection,Shooter,0.41,0.28,0.03,0.14,0.86,0.0
Thief 4,Action,0.28,0.41,0.03,0.13,0.85,0.0
Until Dawn: Rush of Blood,Shooter,0.5,0.21,0.0,0.15,0.85,0.0
Disney Infinity 3.0,Action,0.31,0.4,0.0,0.14,0.85,0.0
Farming Simulator 17,Simulation,0.19,0.52,0.01,0.13,0.85,0.0
The Crew 2,Racing,0.22,0.42,0.05,0.12,0.82,0.0
Pro Evolution Soccer 2016,Sports,0.14,0.43,0.14,0.1,0.82,0.0
ARK: Survival Evolved,Action,0.28,0.29,0.14,0.11,0.81,0.0
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Action,0.21,0.14,0.39,0.07,0.81,0.0
Assassin's Creed The Ezio Collection,Action,0.14,0.52,0.02,0.12,0.79,0.0
Final Fantasy XIV: A Realm Reborn,MMO,0.35,0.23,0.08,0.12,0.79,0.0
Destiny: The Collection,Shooter,0.24,0.4,0.02,0.12,0.78,0.0
F1 2016 (Codemasters),Racing,0.07,0.56,0.03,0.11,0.78,0.0
Hitman (2016),Action,0.24,0.36,0.06,0.11,0.78,0.0
Pro Evolution Soccer 2015,Sports,0.09,0.45,0.12,0.1,0.76,0.0
LEGO City Undercover,Platform,0.17,0.46,0.01,0.12,0.75,0.0
Pro Evolution Soccer 2018,Sports,0.12,0.36,0.19,0.09,0.75,0.0
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,0.37,0.25,0.0,0.13,0.75,0.0
Pro Evolution Soccer 2017,Sports,0.08,0.41,0.18,0.09,0.75,0.0
Sniper Elite 3,Shooter,0.25,0.37,0.0,0.12,0.74,0.0
MLB 14 The Show,Sports,0.59,0.0,0.0,0.14,0.73,0.0
WipEout Omega Collection,Racing,0.12,0.49,0.0,0.11,0.72,0.0
Deus Ex: Mankind Divided,Role-Playing,0.25,0.34,0.01,0.12,0.72,0.0
The LEGO Movie Videogame,Action-Adventure,0.26,0.32,0.01,0.11,0.71,0.0
Marvel vs. Capcom: Infinite,Fighting,0.36,0.19,0.04,0.11,0.7,0.0
Dark Souls II,Role-Playing,0.27,0.23,0.09,0.1,0.69,0.0
Yakuza 6,Adventure,0.16,0.1,0.38,0.05,0.69,0.0
F1 2015,Racing,0.1,0.45,0.04,0.1,0.68,0.0
METRO 2033,Shooter,0.22,0.31,0.05,0.1,0.68,0.0
Rocksmith 2014,Music,0.38,0.17,0.0,0.12,0.67,0.0
NHL 16,Sports,0.38,0.16,0.0,0.12,0.66,0.0
Plants vs Zombies: Garden Warfare,Shooter,0.24,0.3,0.01,0.11,0.66,0.0
Tales of Berseria,Role-Playing,0.22,0.1,0.26,0.07,0.65,0.0
Yakuza Zero: The Place of Oath,Adventure,0.22,0.16,0.19,0.08,0.65,0.0
One Piece: Burning Blood,Fighting,0.21,0.26,0.09,0.09,0.65,0.0
Batman: Return to Arkham,Action,0.15,0.39,0.01,0.1,0.64,0.0
Plants vs. Zombies: Garden Warfare 2,Shooter,0.22,0.31,0.0,0.1,0.63,0.0
LEGO The Hobbit,Action-Adventure,0.14,0.39,0.0,0.1,0.62,0.0
World of Final Fantasy,Role-Playing,0.24,0.21,0.09,0.09,0.62,0.0
F1 2017,Racing,0.04,0.47,0.02,0.09,0.62,0.0
NHL 15,Sports,0.32,0.19,0.0,0.11,0.62,0.0
Knowledge is Power,Party,0.05,0.47,0.0,0.09,0.61,0.0
L.A. Noire,Adventure,0.18,0.32,0.0,0.1,0.6,0.0
Hidden Agenda,Adventure,0.08,0.42,0.0,0.09,0.59,0.0
Call of Duty: Modern Warfare Remastered,Shooter,0.17,0.3,0.03,0.09,0.58,0.0
Dragon Quest Builders: Revive Alefgard,Role-Playing,0.12,0.17,0.24,0.06,0.58,0.0
The Lego Ninjago Movie Videogame,Action,0.16,0.32,0.0,0.09,0.57,0.0
Resident Evil: Revelations 2,Action,0.14,0.25,0.11,0.07,0.57,0.0
Rock Band 4,Music,0.41,0.06,0.0,0.1,0.57,0.0
NHL 18,Sports,0.31,0.16,0.0,0.1,0.57,0.0
Everybody's Golf,Sports,0.12,0.22,0.17,0.06,0.56,0.0
The Amazing Spider-Man 2 (2014),Action-Adventure,0.2,0.26,0.02,0.09,0.56,0.0
DOOM VFR,Shooter,0.22,0.25,0.0,0.09,0.56,0.0
Sonic Forces,Platform,0.15,0.31,0.01,0.09,0.56,0.0
Kingdom Come: Deliverance,Role-Playing,0.18,0.28,0.0,0.09,0.56,0.0
Lords of the Fallen,Role-Playing,0.2,0.24,0.02,0.09,0.55,0.0
Sniper Elite 4,Shooter,0.21,0.25,0.0,0.09,0.55,0.0
Rory McIlroy PGA Tour,Sports,0.19,0.27,0.0,0.09,0.55,0.0
Project CARS 2,Racing,0.1,0.35,0.02,0.08,0.55,0.0
Skylanders: Trap Team,Platform,0.25,0.18,0.0,0.09,0.52,0.0
NHL 17,Sports,0.32,0.11,0.0,0.09,0.52,0.0
One Piece: Pirate Warriors 3,Action,0.11,0.22,0.11,0.06,0.52,0.0
DiRT Rally,Racing,0.13,0.3,0.0,0.08,0.51,0.0
Homefront: The Revolution,Shooter,0.11,0.29,0.04,0.07,0.5,0.0
Attack on Titan (KOEI),Action,0.08,0.24,0.12,0.06,0.5,0.0
DiRT 4,Racing,0.1,0.3,0.02,0.07,0.49,0.0
Farpoint,Shooter,0.0,0.38,0.04,0.06,0.48,0.0
Battleborn,Shooter,0.25,0.12,0.03,0.08,0.48,0.0
A Way Out,Action,0.23,0.16,0.0,0.08,0.48,0.0
Friday the 13th: The Game,Action,0.29,0.09,0.03,0.08,0.48,0.0
The Walking Dead: A Telltale Games Series,Adventure,0.12,0.26,0.03,0.07,0.48,0.0
Wolfenstein: The Old Blood,Shooter,0.13,0.25,0.02,0.07,0.48,0.0
Deadpool,Action,0.26,0.13,0.0,0.08,0.47,0.0
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,Action,0.05,0.09,0.3,0.03,0.47,0.0
TrackMania Turbo,Racing,0.04,0.35,0.0,0.07,0.47,0.0
Knack 2,Platform,0.14,0.25,0.01,0.07,0.47,0.0
Just Dance 2014,Music,0.21,0.18,0.0,0.08,0.47,0.0
Dissidia Final Fantasy NT,Fighting,0.19,0.06,0.16,0.05,0.46,0.0
Skylanders: SuperChargers,Action-Adventure,0.29,0.09,0.0,0.08,0.45,0.0
Yakuza Kiwami,Adventure,0.13,0.07,0.21,0.04,0.45,0.0
Tales of Zestiria,Role-Playing,0.18,0.16,0.04,0.07,0.45,0.0
Star Ocean 5: Integrity and Faithlessness,Role-Playing,0.1,0.13,0.16,0.05,0.45,0.0
Sleeping Dogs,Action,0.16,0.21,0.0,0.07,0.44,0.0
Skylanders SWAP Force,Misc,0.23,0.14,0.0,0.08,0.44,0.0
Skylanders Imaginators,Platform,0.18,0.18,0.0,0.07,0.43,0.0
Trials Fusion,Misc,0.13,0.23,0.01,0.07,0.43,0.0
Saints Row IV,Action,0.15,0.18,0.03,0.06,0.42,0.0
Dishonored,Action,0.12,0.21,0.02,0.06,0.42,0.0
Mirror's Edge 2,Platform,0.13,0.19,0.03,0.06,0.42,0.0
Farming Simulator 2015,Simulation,0.13,0.22,0.0,0.07,0.41,0.0
Just Dance 2015,Music,0.21,0.13,0.0,0.07,0.41,0.0
